,index,participantID,bluetoothCount.daily,bluetoothUniqueDevice.daily,bluetoothMostUniqueScan.daily,batteryDischargeCount.daily,batteryChargeCount.daily,batteryDischargeCount.morning,batteryDischargeCount.evening,batteryChargeCount.evening,batteryDischargeCount.night,batteryChargeCount.night,screenUnlockCount.daily,screenUnlockRatio.daily,screenUnlockDuration.mean.daily,screenUnlockDuration.std.daily,screenUnlockCount.morning,screenUnlockRatio.morning,screenUnlockDuration.mean.morning,screenUnlockDuration.std.morning,screenUnlockCount.evening,screenUnlockRatio.evening,screenUnlockDuration.mean.evening,screenUnlockDuration.std.evening,wifiCount.daily,wifiUniqueDevice.daily,wifiMostUniqueScan.daily,wifiCount.morning,wifiUniqueDevice.morning,wifiMostUniqueScan.morning,wifiCount.evening,wifiUniqueDevice.evening,wifiMostUniqueScan.evening,wifiCount.night,wifiUniqueDevice.night,neoConscientiousness,neoNeuroticism,neoExtraversion,neoAgreeableness,neoOpenness,NegativeAffectivity,Detachment,Antagonism,Disinhibition,Psychoticism
0,0.0,221,13.0,10.0,0.0,6.0,7.0,1.0,3.0,5.0,0.26666666666666666,1.0666666666666667,70.0,0.097902098,3.192061667,6.9253392510000005,8.533333333333333,0.03149269446666667,8.433855931133333,14.7712176528,31.0,0.08611111099999999,3.3880134410000005,9.345303712,704.0,12.0,115.0,3.0,1.0,210.92307692307693,360.0,6.0,87.0,352.0,1.6153846153846154,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
1,1.0,221,19.0,9.0,2.0,8.0,6.0,1.0,3.0,1.0,1.0,1.0,49.0,0.035766423,2.722912925,4.015157423,4.0,0.011267606000000001,8.8783125,8.396179107,6.0,0.019047619,5.00355,5.348018895,1149.0,26.0,789.0,323.0,1.0,323.0,218.0,5.0,164.0,360.0,4.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
2,2.0,221,14.0,1.0,14.0,6.0,5.0,1.0,3.0,1.0,1.0,2.0,46.0,0.03297491,2.389555435,3.211627716,5.0,0.015384615,5.040583333,8.008430711,19.0,0.052777778,2.094318421,2.359842261,1335.0,6.0,866.0,276.0,1.0,276.0,360.0,6.0,184.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
3,3.0,221,17.0,13.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,52.0,0.039245283,4.6152253210000005,17.279752399999996,16.0,0.05,2.98005625,6.349305478,15.0,0.049180327999999995,3.123956667,2.460133311,962.0,8.0,753.0,242.0,7.0,84.0,188.0,2.0,161.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
4,4.0,221,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,41.0,0.034893617,2.9446882110000003,4.81672284,5.0,0.014705882,7.768653333,11.08921023,22.0,0.08,2.8270106060000004,3.537857915,915.0,9.0,722.0,245.0,1.0,245.0,264.0,2.0,121.0,257.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
5,5.0,221,3.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,31.0,0.032291667,9.220139247,37.52200691,12.0,0.043636364000000004,2.1850569440000003,2.6610778180000003,4.0,0.012698413,55.3952125,75.73156474784915,560.0,7.0,57.0,188.0,2.0,210.92307692307693,77.0,5.0,12.0,352.0,1.6153846153846154,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
6,6.0,221,8.0,5.0,0.0,7.0,5.0,2.0,3.0,1.0,0.26666666666666666,1.0666666666666667,37.0,0.037948718,20.05248468,97.4350926,7.0,0.027999999999999997,37.37951429,78.85957916702013,12.0,0.034782609,3.914925,4.007401306,663.0,6.0,394.0,123.0,4.0,34.0,285.0,3.0,223.0,352.0,1.6153846153846154,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
7,7.0,221,10.9375,5.1875,1.0,5.0,7.0,1.0,4.0,4.0,0.0,2.0,41.0,0.03071161,3.488552439,5.527257962999999,8.533333333333333,0.03149269446666667,8.433855931133333,14.7712176528,25.0,0.06944444400000001,4.514142,6.79096807,1085.0,14.0,700.0,218.0,1.0,218.0,360.0,3.0,101.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
8,8.0,221,13.0,4.0,0.0,6.0,3.0,3.0,3.0,1.0,0.0,1.0,30.0,0.02173913,2.439176111,3.038798762,10.0,0.029411765,1.6078,2.169028579,7.0,0.021212121,3.98775,5.109242196,1111.0,21.0,875.0,299.0,16.0,253.0,204.0,6.0,83.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
9,9.0,221,13.0,1.0,0.0,5.0,5.0,2.0,1.0,2.0,0.0,1.0,30.0,0.022900762999999998,7.558963889,19.38485597,6.0,0.017647059,23.10409167,41.78937126,17.0,0.047887324,3.343521569,4.24680805,1131.0,10.0,621.0,271.0,3.0,217.0,337.0,5.0,135.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
10,10.0,221,12.0,9.0,0.0,1.0,2.0,1.2352941176470589,1.0,1.0,0.0,1.0,12.0,0.009375,3.0713861110000003,3.350503235,8.533333333333333,0.03149269446666667,8.433855931133333,14.7712176528,7.0,0.01971831,3.9484071430000003,4.078688721,850.0,3.0,574.2941176470588,91.0,1.0,210.92307692307693,282.0,3.0,135.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
